Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,27.31875,-113.410483,90.0,bottom
C2,100nF,C_0402_1005Metric,29.7,-115.8875,180.0,bottom
C3,100nF,C_0402_1005Metric,31.292236,-121.289389,180.0,bottom
C4,100nF,C_0402_1005Metric,19.0675,-124.61875,0.0,bottom
C5,100nF,C_0402_1005Metric,20.175,-114.61375,90.0,bottom
C6,10uF,C_0603_1608Metric,18.5875,-114.3,90.0,bottom
C7,100nF,C_0402_1005Metric,31.2875,-120.313728,180.0,bottom
C8,1uF,C_0402_1005Metric,78.368737,-55.472595,270.0,bottom
C9,1uF,C_0402_1005Metric,73.606237,-55.472595,90.0,bottom
D1,D_Small,D_SOD-123F,43.65625,-25.4,90.0,bottom
D2,D_Small,D_SOD-123F,71.4375,-25.4,90.0,bottom
D3,D_Small,D_SOD-123F,100.0125,-25.4,90.0,bottom
D4,D_Small,D_SOD-123F,128.5875,-25.4,90.0,bottom
D5,D_Small,D_SOD-123F,200.025,-25.4,90.0,bottom
D6,D_Small,D_SOD-123F,228.6,-25.4,90.0,bottom
D7,D_Small,D_SOD-123F,257.175,-25.4,90.0,bottom
D8,D_Small,D_SOD-123F,286.54375,-25.4,90.0,bottom
D9,D_Small,D_SOD-123F,28.575,-44.45,90.0,bottom
D10,D_Small,D_SOD-123F,47.625,-44.45,90.0,bottom
D11,D_Small,D_SOD-123F,66.675,-44.45,90.0,bottom
D12,D_Small,D_SOD-123F,85.725,-44.45,90.0,bottom
D13,D_Small,D_SOD-123F,104.775,-44.45,90.0,bottom
D14,D_Small,D_SOD-123F,123.825,-44.45,90.0,bottom
D15,D_Small,D_SOD-123F,142.875,-44.45,90.0,bottom
D16,D_Small,D_SOD-123F,161.925,-44.45,90.0,bottom
D17,D_Small,D_SOD-123F,180.975,-44.45,90.0,bottom
D18,D_Small,D_SOD-123F,200.025,-44.45,90.0,bottom
D19,D_Small,D_SOD-123F,219.075,-44.45,90.0,bottom
D20,D_Small,D_SOD-123F,238.125,-44.45,90.0,bottom
D21,D_Small,D_SOD-123F,257.175,-44.45,90.0,bottom
D22,D_Small,D_SOD-123F,276.225,-44.45,90.0,bottom
D23,D_Small,D_SOD-123F,295.275,-44.45,90.0,bottom
D24,D_Small,D_SOD-123F,33.3375,-63.5,90.0,bottom
D25,D_Small,D_SOD-123F,57.15,-63.5,90.0,bottom
D26,D_Small,D_SOD-123F,76.2,-63.6875,90.0,bottom
D27,D_Small,D_SOD-123F,95.25,-63.5,90.0,bottom
D28,D_Small,D_SOD-123F,114.3,-63.5,90.0,bottom
D29,D_Small,D_SOD-123F,133.35,-63.5,90.0,bottom
D30,D_Small,D_SOD-123F,152.4,-63.5,90.0,bottom
D31,D_Small,D_SOD-123F,171.45,-63.5,90.0,bottom
D32,D_Small,D_SOD-123F,190.5,-63.5,90.0,bottom
D33,D_Small,D_SOD-123F,209.55,-63.5,90.0,bottom
D34,D_Small,D_SOD-123F,228.6,-63.5,90.0,bottom
D35,D_Small,D_SOD-123F,247.65,-63.5,90.0,bottom
D36,D_Small,D_SOD-123F,266.7,-63.5,90.0,bottom
D37,D_Small,D_SOD-123F,285.75,-63.5,90.0,bottom
D38,D_Small,D_SOD-123F,300.83125,-63.5,90.0,bottom
D39,D_Small,D_SOD-123F,23.8125,-82.55,90.0,bottom
D40,D_Small,D_SOD-123F,42.8625,-82.55,90.0,bottom
D41,D_Small,D_SOD-123F,61.9125,-82.55,90.0,bottom
D42,D_Small,D_SOD-123F,80.9625,-82.55,90.0,bottom
D43,D_Small,D_SOD-123F,100.0125,-82.55,90.0,bottom
D44,D_Small,D_SOD-123F,119.0625,-82.55,90.0,bottom
D45,D_Small,D_SOD-123F,138.1125,-82.55,90.0,bottom
D46,D_Small,D_SOD-123F,157.1625,-82.55,90.0,bottom
D47,D_Small,D_SOD-123F,176.2125,-82.55,90.0,bottom
D48,D_Small,D_SOD-123F,195.2625,-82.55,90.0,bottom
D49,D_Small,D_SOD-123F,214.3125,-82.55,90.0,bottom
D50,D_Small,D_SOD-123F,233.3625,-82.55,90.0,bottom
D51,D_Small,D_SOD-123F,252.4125,-82.55,90.0,bottom
D52,D_Small,D_SOD-123F,280.9875,-82.55,90.0,bottom
D53,D_Small,D_SOD-123F,47.625,-101.6,90.0,bottom
D54,D_Small,D_SOD-123F,71.4375,-101.6,90.0,bottom
D55,D_Small,D_SOD-123F,90.4875,-101.6,90.0,bottom
D56,D_Small,D_SOD-123F,109.5375,-101.6,90.0,bottom
D57,D_Small,D_SOD-123F,128.5875,-101.6,90.0,bottom
D58,D_Small,D_SOD-123F,147.6375,-101.6,90.0,bottom
D59,D_Small,D_SOD-123F,166.6875,-101.6,90.0,bottom
D60,D_Small,D_SOD-123F,185.7375,-101.6,90.0,bottom
D61,D_Small,D_SOD-123F,204.7875,-101.6,90.0,bottom
D62,D_Small,D_SOD-123F,223.8375,-101.6,90.0,bottom
D63,D_Small,D_SOD-123F,242.8875,-101.6,90.0,bottom
D64,D_Small,D_SOD-123F,266.7,-101.6,90.0,bottom
D65,D_Small,D_SOD-123F,291.30625,-101.6,90.0,bottom
D66,D_Small,D_SOD-123F,73.81875,-115.8875,270.0,bottom
D67,D_Small,D_SOD-123F,88.10625,-115.8875,270.0,bottom
D68,D_Small,D_SOD-123F,104.775,-115.8875,270.0,bottom
D69,D_Small,D_SOD-123F,133.35,-115.8875,270.0,bottom
D70,D_Small,D_SOD-123F,150.01875,-115.8875,270.0,bottom
D71,D_Small,D_SOD-123F,166.6875,-115.8875,270.0,bottom
